year,temperature,precipitation,date,band,species,Beak length,Beak depth
1975,27.483570765056164,864.9803586,10/27/1975 1:49,2,fortis,9.4,8
1975,24.308678494144075,1186.8549797042497,6/17/1975 4:08,9,fortis,9.2,8.3
1975,28.23844269050346,679.7138711852217,5/11/1975 5:43,12,fortis,9.5,7.5
1975,32.61514928204013,957.2861545,6/29/1975 21:26,15,fortis,9.5,8
1975,23.829233126383322,1036.0886895135698,10/29/1975 11:35,305,fortis,11.5,9.9
1975,23.82931522,1154.3316502176247,5/3/1975 0:22,307,fortis,11.1,8.6
1975,32.896064077536955,1213.484463426667,3/5/1975 5:58,308,fortis,9.9,8.4
1975,28.837173645764544,662.6073724486392,9/17/1975 4:09,309,fortis,11.5,9.8
1975,22.65262807032524,539.7657487793133,10/28/1975 15:44,311,fortis,10.8,9.2
1975,27.712800217929825,1383.3030465695526,2/6/1975 15:10,312,fortis,11.3,9
1975,22.682911535937688,1099.6942035938775,3/29/1975 7:32,313,fortis,11.5,9.5
1975,22.671351232148716,775.454039,2/21/1975 16:16,314,fortis,11.5,8.9
1975,26.20981135783017,1465.345592656757,5/7/1975 15:36,315,fortis,9.7,8.8
1975,15.43359877671101,1034.7023902878575,6/13/1975 22:15,316,fortis,10.9,9.7
1975,16.375410837434835,1353.789155219148,9/30/1975 13:44,316,fortis,10.9,9.85
1975,22.188562353795135,1020.2555444230327,8/26/1975 0:25,320,fortis,10.1,8.9
1975,19.93584439832788,1618.2243774645963,8/15/1975 0:25,321,fortis,10.6,8.5
1975,26.571236662976368,1526.6022527329615,5/9/1975 6:20,323,fortis,9.6,8.2
1975,20.459879622393945,925.3107555,11/3/1975 6:53,324,fortis,10.3,9.3
1975,17.938481493323543,1291.4712852863067,6/21/1975 13:09,326,fortis,10.5,9.1
1975,32.32824384460777,1193.6127848755443,12/23/1975 9:27,328,fortis,10.5,8.8
1975,23.871118497567323,1410.5894672597046,8/19/1975 19:51,329,fortis,10.9,9.4
1975,25.33764102343962,710.5229618259687,2/15/1975 23:02,330,fortis,11.2,9.6
1975,17.87625906893272,1205.8154379995317,9/4/1975 3:05,340,fortis,9.4,8.5
1975,22.278086377374088,1317.5273460548763,4/29/1975 8:06,341,fortis,10.1,8.1
1975,25.55461294854933,472.37815407306573,9/7/1975 19:45,342,fortis,9.6,8
1975,19.245032112888488,645.0224462002675,1/26/1975 8:23,343,fortis,10.5,9.7
1975,26.87849009172836,388.23034667196987,3/5/1975 15:45,344,fortis,9.9,8.2
1975,21.996806550405974,919.1779496666327,11/8/1975 11:43,345,fortis,9.9,8.4
1975,23.541531251033618,1215.2626767387887,3/24/1975 16:38,346,fortis,9.6,7.9
1975,21.991466938853016,1450.7071156288084,11/1/1975 16:23,347,fortis,10.7,9.3
1975,34.26139092254469,1022.2284341259326,4/12/1975 15:45,348,fortis,11.8,10.5
1975,24.93251387631033,1488.5846636713875,8/23/1975 0:12,349,fortis,10.2,9.7
1975,19.711445355220498,585.9695625355325,9/10/1975 16:05,350,fortis,10.9,9.6
1975,29.112724560515943,488.9852681934536,7/6/1975 14:33,352,fortis,9.3,7.7
1975,18.895781750144888,983.3356903310143,4/22/1975 3:11,354,fortis,11.6,9.8
1975,26.044317975023777,1115.2196346817923,3/19/1975 9:39,355,fortis,11.2,9.8
1975,15.201649380601122,990.1915755717721,1/13/1975 1:56,356,fortis,10.1,8.5
1975,18.359069755507846,379.76737,4/21/1975 15:16,360,fortis,10.7,9.2
1975,25.984306179345616,973.2639881461635,8/26/1975 18:01,366,fortis,11,10.1
1975,28.692332899977053,608.6591498485441,12/8/1975 13:01,368,fortis,10.8,9
1975,25.85684140594985,1200.9017646490115,11/14/1975 2:50,369,fortis,10.2,9
1975,24.421758588058797,1109.9794738290545,10/6/1975 20:20,401,fortis,10.8,9.4
1975,23.494481522053555,718.0360641017935,10/14/1975 23:52,402,fortis,10.4,8.8
1975,17.607390048162863,845.8399247989919,8/31/1975 1:18,403,fortis,11.2,9.9
1975,21.400778958026457,682.2359434333146,4/5/1975 17:51,405,fortis,11.4,9.9
1975,22.696806145201062,981.1962708180484,11/27/1975 5:15,410,fortis,10.9,8.9
1975,30.285611131094576,1286.5426961503715,9/2/1975 3:31,411,fortis,10.4,9.4
1975,26.71809144784231,704.2821860993369,7/24/1975 0:00,413,fortis,9.7,8.2
1975,16.18479922318633,1151.2139546553533,2/10/1975 9:36,414,fortis,10.2,8.2
1975,26.620419846973974,840.9227144882677,6/12/1975 17:28,415,fortis,9.2,8.1
1975,23.074588597918417,762.1381503212967,6/17/1975 13:41,416,fortis,10.1,8.4
1975,21.615389998470206,967.8908920136327,11/11/1975 16:49,417,fortis,11,10.1
1975,28.05838144420434,689.4273032741878,7/18/1975 23:31,418,fortis,10.3,8.6
1975,30.154997612479754,833.9052083958454,5/19/1975 11:10,419,fortis,10.2,8.5
1975,29.656400595580994,640.6366322233455,12/22/1975 13:19,420,fortis,11,9.7
1975,20.803912383886807,1589.4175398749167,2/10/1975 7:15,422,fortis,11,10.3
1975,23.453938120743928,1010.5790655915185,6/3/1975 19:22,423,fortis,10.1,8.6
1975,26.65631715701782,790.0823476022243,1/16/1975 7:07,424,fortis,10.7,9.3
1975,29.877725635611796,1064.1939732202666,9/27/1975 7:48,425,fortis,10.7,8.9
1975,22.60412881077355,966.3015850927511,12/1/1975 4:19,426,fortis,11,9.7
1975,24.071705116680914,933.7091201400331,4/12/1975 22:24,427,fortis,12,10.2
1975,19.46832512996986,1184.2500100130276,11/9/1975 10:28,428,fortis,11.6,10.2
1975,19.018966879596647,1227.2523130141915,4/17/1975 8:49,450,fortis,9.9,8.5
1975,29.062629111970992,840.8496557168418,11/28/1975 12:29,451,fortis,10.8,8.8
1975,31.781200142854114,827.2545278,10/2/1975 10:36,452,fortis,10.5,8.9
1975,24.63994939209833,917.4844908545068,10/20/1975 23:39,453,fortis,10,8.7
1975,30.01766448946012,309.42365057932454,1/7/1975 13:18,454,fortis,9.6,9.3
1975,26.80818012523817,545.4426813404343,12/17/1975 11:06,455,fortis,11,9.7
1975,21.77440122697438,1410.0622802333573,9/22/1975 12:11,456,fortis,10.2,9.6
1975,26.80697802754207,1493.4903140503852,4/21/1975 22:18,457,fortis,9.7,7.85
1975,32.690182832329846,925.2891881330866,10/29/1975 21:35,458,fortis,11.1,9.6
1975,24.820869804450243,1172.9670889167298,4/13/1975 11:22,459,fortis,10.4,9.3
1975,32.82321827907003,1093.3750463630608,11/14/1975 16:22,461,fortis,11.1,9.8
1975,11.901274479551278,1923.6642425365712,2/10/1975 23:30,462,fortis,10.2,8.8
1975,29.10951252187612,1335.872473430373,9/14/1975 3:24,463,fortis,10.3,9.1
1975,25.435235341190857,961.6247225557701,7/16/1975 19:32,465,fortis,9.9,9
1975,23.504963247670663,713.3378678198723,2/5/1975 3:19,466,fortis,11,10.4
1975,25.45880388267751,518.0661039227282,3/30/1975 1:11,468,fortis,10.8,9
1975,15.062155426995536,1061.039090760167,1/5/1975 12:21,473,fortis,10.5,9.5
1975,23.90164056081244,773.0947764,6/20/1975 15:09,474,fortis,10.5,8.7
1975,26.78556285755873,573.3238871206977,4/20/1975 15:51,475,fortis,11.2,9.6
1975,32.38947022370758,806.0281347,8/6/1975 19:15,476,fortis,11.2,9.4
1975,22.40864890863176,675.5355989156815,4/19/1975 4:40,477,fortis,11.7,9.5
1975,20.95753198553406,1506.1424905217696,4/20/1975 4:05,479,fortis,10.5,8.6
1975,22.491214782077318,1264.4919270848352,9/28/1975 12:32,501,fortis,10.5,9.9
1975,29.57701058851037,997.6082076050147,1/18/1975 12:34,502,fortis,11.2,9.4
1975,26.643755548298422,1443.9832416670079,11/25/1975 15:41,503,fortis,10,9.1
1975,22.351198981164806,1023.2104922942855,11/7/1975 5:22,504,fortis,10.4,8.6
1975,27.56633716556678,741.6147396015209,9/1/1975 1:56,505,fortis,10.8,9.3
1975,25.48538775,1456.9372231808973,8/4/1975 22:23,506,fortis,11.1,9.2
1975,29.843224952664446,1161.6730131053976,11/21/1975 19:09,507,fortis,10.3,8.8
1975,21.489734530613237,688.8261537,3/9/1975 11:02,509,fortis,11.1,9.2
1975,23.361689267011158,942.8983965749176,1/29/1975 17:52,510,fortis,9.8,8.3
1975,23.039459234339212,737.3145239845728,3/29/1975 4:21,511,fortis,10.5,8.8
1975,17.682425259339407,585.1600807106992,10/17/1975 5:26,512,fortis,11,9.4
